"","adf.01_noInt","adf.05_noInt","adf.1_noInt","HF.01_noInt","HF.05_noInt","HF.1_noInt","adf.01_wInt","adf.05_wInt","adf.1_wInt","HF.01_wInt","HF.05_wInt","HF.1_wInt"
"2-10-nopois-.2-50",54,89,90,56,56,56,4,34,62,26,26,26
"2-10-nopois-.2-75",94,92,88,67,67,67,53,80,73,34,34,34
"2-10-nopois-.2-100",98,91,83,76,76,75,93,81,72,43,43,43
"2-10-nopois-.2-200",95,91,84,82,82,81,94,83,68,63,63,63
"2-10-nopois-.6-50",61,91,89,54,54,54,2,29,60,40,40,40
"2-10-nopois-.6-75",96,93,87,72,72,72,54,86,86,47,47,46
"2-10-nopois-.6-100",98,92,86,76,76,75,99,98,92,57,57,57
"2-10-nopois-.6-200",98,96,92,78,78,78,98,94,85,55,55,55
"2-10-pois-.2-50",53,90,88,37,37,37,3,38,59,27,27,27
"2-10-pois-.2-75",99,95,91,69,69,69,57,85,81,49,49,49
"2-10-pois-.2-100",100,97,90,75,75,72,95,88,75,42,42,42
"2-10-pois-.2-200",98,92,90,91,91,91,96,86,76,66,66,66
"2-10-pois-.6-50",62,94,86,48,48,48,1,29,66,28,28,28
"2-10-pois-.6-75",97,95,90,67,67,64,65,88,86,50,50,50
"2-10-pois-.6-100",98,94,87,72,72,72,95,92,87,44,44,43
"2-10-pois-.6-200",100,97,93,85,85,83,99,95,91,61,61,60
"3-10-nopois-.2-50",70,91,85,65,65,64,3,31,41,32,32,32
"3-10-nopois-.2-75",91,86,78,74,74,72,40,42,32,39,39,39
"3-10-nopois-.2-100",95,89,80,77,77,76,70,44,35,42,42,41
"3-10-nopois-.2-200",91,86,77,79,79,77,47,27,12,59,59,58
"3-10-nopois-.6-50",62,85,79,73,73,73,5,35,46,40,40,40
"3-10-nopois-.6-75",94,86,82,77,77,75,61,84,72,43,43,43
"3-10-nopois-.6-100",96,92,84,78,78,75,84,76,69,59,59,59
"3-10-nopois-.6-200",98,93,85,85,85,83,94,76,67,72,72,72
"3-10-pois-.2-50",60,92,90,55,55,55,1,30,56,31,31,31
"3-10-pois-.2-75",97,92,87,67,67,67,63,83,74,38,38,38
"3-10-pois-.2-100",100,95,91,74,74,73,90,85,78,49,49,49
"3-10-pois-.2-200",96,90,83,78,78,76,95,81,70,58,58,58
"3-10-pois-.6-50",61,89,89,58,58,58,2,42,69,34,34,34
"3-10-pois-.6-75",98,91,86,60,60,60,66,93,84,42,42,42
"3-10-pois-.6-100",95,88,85,75,75,72,96,90,84,44,44,44
"3-10-pois-.6-200",98,94,89,84,84,82,99,97,93,66,66,65
"4-20-nopois-.2-50",28,80,82,21,21,21,0,5,32,9,9,9
"4-20-nopois-.2-75",99,92,84,40,40,40,23,42,38,17,17,17
"4-20-nopois-.2-100",97,92,84,47,47,47,70,49,38,23,23,23
"4-20-nopois-.2-200",95,79,71,71,71,70,71,51,38,46,46,46
"4-20-nopois-.6-50",24,87,87,25,25,24,0,10,32,9,9,9
"4-20-nopois-.6-75",95,87,84,44,44,44,28,68,60,21,21,21
"4-20-nopois-.6-100",98,89,84,56,56,55,92,80,66,39,39,39
"4-20-nopois-.6-200",99,92,88,74,74,73,94,80,70,47,47,47
"4-20-pois-.2-50",37,89,85,34,34,33,0,11,14,8,8,8
"4-20-pois-.2-75",90,89,80,48,48,47,30,43,27,20,20,21
"4-20-pois-.2-100",93,84,76,61,61,60,61,39,29,26,26,24
"4-20-pois-.2-200",91,81,76,72,72,67,57,41,28,43,43,42
"4-20-pois-.6-50",35,81,73,39,39,39,0,13,28,12,12,12
"4-20-pois-.6-75",94,90,86,53,53,52,42,74,68,26,26,26
"4-20-pois-.6-100",95,88,85,65,65,64,92,76,67,35,35,35
"4-20-pois-.6-200",99,96,93,79,79,77,84,74,63,46,46,45
"5-20-nopois-.2-50",22,81,82,32,32,31,1,10,27,18,18,18
"5-20-nopois-.2-75",92,87,82,50,50,48,33,42,32,17,17,17
"5-20-nopois-.2-100",95,88,83,54,54,53,70,45,33,30,30,30
"5-20-nopois-.2-200",88,80,74,73,73,71,62,45,26,55,55,52
"5-20-nopois-.6-50",27,85,80,25,25,23,0,8,39,10,10,10
"5-20-nopois-.6-75",87,87,81,54,54,52,44,75,72,31,31,30
"5-20-nopois-.6-100",99,95,91,64,64,63,88,75,61,36,36,35
"5-20-nopois-.6-200",96,90,82,65,65,61,92,77,66,47,47,46
"5-20-pois-.2-50",44,94,87,37,37,37,0,16,26,11,11,11
"5-20-pois-.2-75",97,90,85,58,58,58,34,51,42,21,21,21
"5-20-pois-.2-100",95,89,82,56,56,55,74,52,37,34,34,34
"5-20-pois-.2-200",97,90,86,72,72,71,70,52,38,55,55,54
"5-20-pois-.6-50",38,89,86,41,41,40,0,12,36,18,18,17
"5-20-pois-.6-75",97,89,88,48,48,47,50,80,68,22,22,22
"5-20-pois-.6-100",98,91,88,55,55,55,94,84,73,34,34,34
"5-20-pois-.6-200",98,91,86,73,73,72,96,87,73,51,51,48
"5-30-nopois-.2-50",13,78,79,10,10,10,0,1,15,4,4,4
"5-30-nopois-.2-75",94,88,79,21,21,21,7,53,45,9,9,9
"5-30-nopois-.2-100",91,82,75,33,33,32,67,56,39,21,21,21
"5-30-nopois-.2-200",94,86,75,56,56,55,61,43,36,39,39,39
"5-30-nopois-.6-50",13,79,77,8,8,8,0,0,9,6,6,6
"5-30-nopois-.6-75",91,90,88,26,26,26,9,75,70,11,11,11
"5-30-nopois-.6-100",98,93,89,35,35,35,84,84,78,23,23,23
"5-30-nopois-.6-200",99,91,89,59,59,59,96,83,73,48,48,48
"5-30-pois-.2-50",23,79,81,15,15,15,0,3,9,8,8,8
"5-30-pois-.2-75",95,94,82,37,37,36,13,19,17,9,9,9
"5-30-pois-.2-100",90,79,76,46,46,46,44,24,14,16,16,16
"5-30-pois-.2-200",88,77,68,53,53,53,35,17,9,27,27,26
"5-30-pois-.6-50",22,84,83,19,19,19,0,6,21,5,5,5
"5-30-pois-.6-75",93,90,86,38,38,37,18,54,46,24,24,24
"5-30-pois-.6-100",93,87,80,45,45,45,85,75,57,23,23,23
"5-30-pois-.6-200",92,84,78,67,67,67,80,57,39,37,37,37
"6-30-nopois-.2-50",5,82,81,12,12,12,0,2,12,4,4,4
"6-30-nopois-.2-75",95,89,81,33,33,31,16,47,41,11,11,11
"6-30-nopois-.2-100",98,92,86,43,43,43,63,43,35,18,18,18
"6-30-nopois-.2-200",94,87,81,56,56,55,65,41,29,34,34,34
"6-30-nopois-.6-50",10,81,80,14,14,12,0,2,24,6,6,6
"6-30-nopois-.6-75",92,89,85,27,27,26,22,69,70,12,12,12
"6-30-nopois-.6-100",97,91,82,35,35,35,85,82,69,27,27,27
"6-30-nopois-.6-200",99,93,84,64,64,60,85,72,64,37,37,37
"6-30-pois-.2-50",12,73,80,3,3,3,0,1,15,5,5,5
"6-30-pois-.2-75",95,94,90,22,22,21,14,61,66,14,14,14
"6-30-pois-.2-100",99,93,89,32,32,31,74,72,64,28,28,28
"6-30-pois-.2-200",96,90,87,53,53,51,91,81,67,38,38,39
"6-30-pois-.6-50",9,76,83,3,3,2,0,0,16,6,6,6
"6-30-pois-.6-75",90,91,89,17,17,17,21,76,78,18,18,18
"6-30-pois-.6-100",97,91,84,37,37,36,80,96,93,30,30,30
"6-30-pois-.6-200",100,94,89,56,56,56,97,93,90,48,48,47
"7-40-nopois-.2-50",5,71,79,2,2,2,0,3,12,4,4,4
"7-40-nopois-.2-75",94,95,89,10,10,10,6,42,45,3,3,3
"7-40-nopois-.2-100",97,90,82,29,29,28,66,58,42,18,18,18
"7-40-nopois-.2-200",95,86,81,44,44,43,63,42,32,25,25,25
"7-40-nopois-.6-50",3,72,78,2,2,2,0,1,8,2,2,2
"7-40-nopois-.6-75",87,89,82,13,13,13,5,74,77,7,7,7
"7-40-nopois-.6-100",96,94,86,25,25,25,75,77,69,13,13,13
"7-40-nopois-.6-200",96,87,82,40,40,40,93,72,63,33,33,33
"7-40-pois-.2-50",1,70,80,0,0,0,0,0,5,1,1,1
"7-40-pois-.2-75",91,85,79,8,8,8,3,40,36,5,5,5
"7-40-pois-.2-100",97,90,82,14,14,14,69,56,42,7,7,7
"7-40-pois-.2-200",94,87,77,45,45,44,75,57,38,24,24,23
"7-40-pois-.6-50",5,69,84,0,0,0,0,0,5,1,1,1
"7-40-pois-.6-75",83,86,80,13,13,13,2,64,71,13,13,13
"7-40-pois-.6-100",96,91,86,20,20,20,79,86,71,13,13,13
"7-40-pois-.6-200",98,95,93,46,46,46,95,84,72,28,28,28
"8-40-nopois-.2-50",6,76,77,6,6,6,0,0,13,2,2,2
"8-40-nopois-.2-75",91,85,77,16,16,16,8,44,38,6,6,6
"8-40-nopois-.2-100",95,86,81,36,36,36,67,55,38,14,14,14
"8-40-nopois-.2-200",87,79,73,54,54,52,59,36,30,26,26,25
"8-40-nopois-.6-50",12,83,85,12,12,12,0,0,19,5,5,5
"8-40-nopois-.6-75",90,85,81,16,16,16,6,65,70,8,8,8
"8-40-nopois-.6-100",98,89,81,23,23,21,84,82,68,10,10,10
"8-40-nopois-.6-200",99,90,87,51,51,49,92,69,64,33,33,31
"8-40-pois-.2-50",10,29,24,5,5,5,0,1,0,0,0,0
"8-40-pois-.2-75",37,14,9,16,16,15,0,0,0,1,1,0
"8-40-pois-.2-100",33,11,3,36,36,36,0,0,0,4,4,4
"8-40-pois-.2-200",11,4,2,50,50,47,0,0,0,14,14,14
"8-40-pois-.6-50",4,44,35,7,7,7,0,0,0,0,0,0
"8-40-pois-.6-75",44,28,18,20,20,20,1,0,0,1,1,1
"8-40-pois-.6-100",49,29,15,28,28,23,1,0,0,6,6,6
"8-40-pois-.6-200",30,8,6,62,62,56,0,0,0,22,22,20
