"","adf.01_PT","adf.05_PT","adf.1_PT","A.01_PT","A.05_PT","A.1_PT","","adf.01_Perf","adf.05_Perf","adf.1_Perf","A.01_Perf","A.05_Perf","A.1_Perf"
"3-10-0.2-50",30.0502830439857,30.1546009540831,28.419090397828,29.0234885644035,29.0234885644035,29.5337034089628,NA,89,95,88,86,86,85
"3-10-0.2-75",30.9733833139614,28.3088510637505,27.8128945551269,29.0234885644035,29.0234885644035,29.3945058106418,NA,98,91,89,88,88,87
"3-10-0.2-100",30.5306215395534,29.3797470695092,27.341528454837,29.5443249024392,29.5443249024392,29.5443249024392,NA,96,91,85,87,87,87
"3-10-0.2-200",31.0425158204128,29.6467149646635,27.2096501948894,29.6517237864338,29.6517237864338,29.5731173547927,NA,97,91,82,92,92,91
"3-10-0.6-50",29.5940189767501,28.2950430007194,26.5600752850901,30.8119915117678,30.8119915117678,30.5871884777727,NA,89,87,86,89,89,88
"3-10-0.6-75",31.339833961135,29.3277088036654,26.8632384651938,28.889992145635,28.889992145635,28.8110791293962,NA,98,91,86,85,85,84
"3-10-0.6-100",30.3706334694042,28.8592415139534,26.5846090400715,30.2804168216994,30.2804168216994,30.7326169844643,NA,97,93,84,91,91,89
"3-10-0.6-200",30.4728709724687,29.9178035482059,27.9158252784553,30.3038811568261,30.3038811568261,30.1487791764028,NA,97,95,91,94,94,92
"3-20-0.2-50",40.6401579976526,34.0826398296828,27.5879033595721,37.5039400171263,37.1254394894934,37.7351722613817,NA,88,79,70,82,83,80
"3-20-0.2-75",39.315958930291,32.8679721004223,31.4319832660277,36.4379178639941,37.0572913855056,37.102486964061,NA,89,81,78,83,85,84
"3-20-0.2-100",38.378232145116,30.2795321000179,24.1168269267129,41.6254927609472,40.6320432054288,40.7102026642055,NA,88,75,66,93,93,93
"3-20-0.2-200",34.2132669555091,29.010775166083,25.4478376031397,43.0858784632883,41.5219627295936,41.5219627295936,NA,80,73,66,94,93,93
"3-20-0.6-50",40.814392329904,37.5101281174501,33.1772818378692,39.0669397654859,39.7556473858559,38.6675857022239,NA,89,88,81,84,84,82
"3-20-0.6-75",38.5493460106351,33.1995719580967,29.7592524765521,37.5747094875395,37.4063640149251,38.7552199713248,NA,89,80,74,87,86,87
"3-20-0.6-100",41.8506729745686,33.6938983591863,30.3519524938262,42.7979242018077,42.7979242018077,42.0943002938454,NA,95,80,72,94,94,94
"3-20-0.6-200",37.8617014298385,30.8963866707544,26.2819162395643,41.4117922723529,41.0687664510868,41.4117922723529,NA,88,74,69,93,93,93
"3-30-0.2-50",47.1887071974401,45.1410771851044,39.8458089968666,44.104887462367,44.0315953398795,43.9888686874476,NA,74,67,51,72,72,71
"3-30-0.2-75",48.9186556955236,43.6114463938636,40.3696724999538,44.9919239645453,45.0614062050817,42.679493000116,NA,65,45,37,68,68,67
"3-30-0.2-100",47.8399592266725,41.690729090935,38.1047293513084,49.8473693109761,50.2439275393848,49.7384303232348,NA,64,46,32,84,84,82
"3-30-0.2-200",44.1811227093064,39.2583185317527,34.2299763955484,44.3347176497647,45.49947931013,43.8542590859791,NA,35,23,18,81,81,81
"3-30-0.6-50",46.8061477552233,42.0380436869824,35.717670324992,40.6327833896424,41.9757906655617,40.6579476748224,NA,71,62,50,66,67,65
"3-30-0.6-75",48.539441310287,45.1537202611743,41.6049831723992,48.5245251657854,47.6602259228586,47.6161371430025,NA,68,61,56,83,83,82
"3-30-0.6-100",49.995658145595,47.1759318918374,40.6328383426609,48.9247844509565,48.2493510887777,47.6904797374632,NA,76,57,49,85,85,85
"3-30-0.6-200",48.5130207267976,37.6647053754286,34.8724514837253,48.608569849541,49.3746623609601,48.608569849541,NA,63,48,38,86,86,86
"3-40-0.2-50",49.1097847424311,40.3777662923757,36.4389137769587,45.8011090682798,44.1862730780926,46.1572317459832,NA,67,51,44,62,61,60
"3-40-0.2-75",48.6273319964761,44.7008437917501,36.0349793857294,52.1890756941399,54.5466258098287,54.4193087802308,NA,59,38,29,75,77,76
"3-40-0.2-100",44.5151046035251,35.1922533913407,32.2479062203668,50.7272546911301,49.9896687350365,49.3228819693614,NA,49,30,26,74,73,70
"3-40-0.2-200",42.9897308698578,32.5099132911138,31.2705046757098,53.2816902234642,52.6358515540889,52.0401505596677,NA,41,21,14,80,80,78
"3-40-0.6-50",47.4691421990863,40.2836367290678,31.8343842567451,48.6862778801861,47.7334455413105,49.7013473553864,NA,63,54,45,63,63,63
"3-40-0.6-75",52.2534517198672,40.2962185592908,34.7000905972416,47.4718265493058,48.290754444138,49.9295677206572,NA,69,55,53,73,72,74
"3-40-0.6-100",48.7690438265033,38.2134164266803,32.5086803616158,48.609323801295,48.293121419444,50.1283635615742,NA,69,55,48,82,81,81
"3-40-0.6-200",47.0982409232982,36.9487862655554,32.3686696402609,56.4472783692005,54.8515857741732,52.4667528800667,NA,57,42,36,89,89,84
"5-10-0.2-50",29.8208024746666,29.9565488043551,28.6543029569699,28.1088672035155,28.1088672035155,27.91441605667,NA,76,90,83,71,71,71
"5-10-0.2-75",31.3222765044481,31.0120308877906,30.5766500530341,28.6125125761572,28.6125125761572,28.6125125761572,NA,96,96,93,74,74,74
"5-10-0.2-100",31.4493343523794,30.4539405314536,29.1002191441035,29.2350018042035,29.0447574803664,29.1096078369651,NA,98,92,84,82,82,81
"5-10-0.2-200",31.5122975583718,30.5766500530341,29.0481947127978,29.3002150306802,29.3002150306802,29.3002150306802,NA,99,94,87,87,87,87
"5-10-0.6-50",30.3316860531179,29.5063013502438,28.2730927180745,27.4236468076424,27.2966854798293,27.3646281316664,NA,79,90,83,64,64,64
"5-10-0.6-75",31.4493343523794,29.8471099231904,28.5960153739142,28.9274594048247,28.6715108171056,28.9274594048247,NA,98,91,87,81,81,81
"5-10-0.6-100",31.3237800879935,29.3401526421171,27.866525362563,30.2050401823324,30.2050401823324,29.947430086024,NA,97,91,84,83,83,83
"5-10-0.6-200",30.826417352625,29.8471099231904,28.8397331475206,30.8881705362924,30.8881705362924,30.7647812212664,NA,96,93,89,91,91,90
"5-20-0.2-50",43.1150450544593,41.8491985502465,41.2098125634237,40.5707140911609,40.1564402865013,40.1564402865013,NA,77,89,86,69,69,69
"5-20-0.2-75",44.6135743414607,43.0431799510737,40.7881059841198,42.028871771072,42.3309287960551,41.9691259858324,NA,98,94,89,84,84,84
"5-20-0.2-100",44.1971771621713,42.9495791539389,40.2200721524384,42.2923829949128,42.2923829949128,41.4543797847506,NA,97,95,88,88,88,85
"5-20-0.2-200",44.2001543021598,40.3193158086656,37.1042862370519,42.550983086997,42.550983086997,42.550983086997,NA,97,87,79,90,90,90
