"","adf.01_PT","adf.05_PT","adf.1_PT","R.01_PT","R.05_PT","R.1_PT","","adf.01_Perf","adf.05_Perf","adf.1_Perf","R.01_Perf","R.05_Perf","R.1_Perf"
"3-10-0.2-50",20.9489182597604,26.3544739913976,25.7184269957815,17.0446474634991,18.2281870758162,18.3704391067076,NA,41,71,67,46,47,47
"3-10-0.2-75",28.7241230299589,26.4426413015577,24.5394952850452,16.2542049111893,16.6946219553663,16.030361168567,NA,90,72,58,44,44,44
"3-10-0.2-100",29.5731173547927,25.6356280707744,21.3469971817634,19.1539576534931,19.752111962466,19.3861037275202,NA,88,71,51,58,58,58
"3-10-0.2-200",29.5323679022224,24.3709527211306,23.3302753760222,21.8386648447466,22.2591782884837,22.0287430446604,NA,83,62,57,70,70,69
"3-10-0.6-50",20.5368934886329,27.9265881292164,27.2330313505485,15.2304938365587,16.8270259770813,17.2414847449897,NA,43,81,75,43,45,44
"3-10-0.6-75",29.5186039762188,29.1882883990747,27.8191054012187,16.3924209393457,16.5831322433452,17.0313548063749,NA,91,89,81,48,48,47
"3-10-0.6-100",30.9693645382934,28.8895969125669,25.8316207313808,22.0393351909573,21.9482250404527,21.7070822988056,NA,96,90,80,68,67,66
"3-10-0.6-200",30.8239699839374,29.2331415452102,27.9186583430658,24.144494722367,24.144494722367,24.144494722367,NA,96,92,88,76,76,76
"3-20-0.2-50",15.677025627591,10.2917262305513,7.86547810970195,11.1294110089264,13.39121472712,13.5828121310086,NA,26,23,16,23,24,25
"3-20-0.2-75",9.07398386095545,4.20025045363511,2.58171213897354,13.9508468777557,18.2821858428498,12.6320221538757,NA,26,12,6,36,44,34
"3-20-0.2-100",7.24761947610602,-2.09138382859057,-2.17158249727188,18.0666010236417,16.2753597349629,19.903942538103,NA,29,7,3,45,42,49
"3-20-0.2-200",5.55062353830799,-0.224668672775506,3.37388344068286,23.0659145457704,24.1005790172915,23.7874193705596,NA,19,6,4,67,69,66
"3-20-0.6-50",19.5506722548725,18.9127748020558,10.7380106224538,15.1604755379925,16.8125596964516,18.0888017024356,NA,39,50,33,36,37,42
"3-20-0.6-75",20.1614091657249,11.138210544214,11.5138101027968,14.8405059660782,15.7988748121743,15.3017810287657,NA,51,34,32,39,40,38
"3-20-0.6-100",21.3706351949359,9.18859860727185,3.94943659479747,23.2419399537885,21.8979500380969,25.6933290424831,NA,58,35,22,58,58,59
"3-20-0.6-200",18.509640441749,3.02798014656818,3.02419551137476,26.1910745446824,24.5160474621789,25.920736553834,NA,53,23,20,70,71,71
"3-30-0.2-50",20.883500100016,25.7757617009713,26.0910299572697,15.0667332165696,17.0318230190102,17.9863313079964,NA,2,2,1,3,3,2
"3-30-0.2-75",33.2412346992303,25.7730670080635,23.4425916551314,13.6529310589942,15.3268436017515,14.2637953844307,NA,1,0,0,1,1,1
"3-30-0.2-100",33.9531148925227,25.5353041342019,23.7121407604969,16.3755587546679,17.2954315996274,18.7987651771546,NA,1,0,0,9,10,11
"3-30-0.2-200",32.454799140226,29.6581109649551,27.8788831517759,19.7130851013671,18.4605359903419,19.6927225673537,NA,0,0,0,17,17,16
"3-30-0.6-50",21.9314458607134,33.0056609212926,29.6930190208115,16.6726545563126,16.6104273354534,18.0035912076816,NA,13,8,4,5,5,5
"3-30-0.6-75",37.232639908011,35.5723218657786,33.5474900582172,16.3833071008208,14.0991107224576,18.3065739451836,NA,5,1,1,13,12,13
"3-30-0.6-100",39.309674031335,37.0002919674379,32.3639612483884,18.9218624247412,21.6448602362994,19.5986835572605,NA,5,0,0,27,27,27
"3-30-0.6-200",39.6598888159407,34.7994715317828,34.2313712019473,25.4357081589813,24.0721870414953,25.4077868787029,NA,1,0,0,43,43,43
"3-40-0.2-50",5.43210445056928,9.54221688735799,7.11516348393771,15.0679896472361,14.4753854881302,14.3974024944356,NA,2,0,0,1,0,1
"3-40-0.2-75",9.2106334361117,6.29114163467325,4.80898656793684,14.4329669482394,15.9364581018426,15.946313057606,NA,0,0,0,3,3,3
"3-40-0.2-100",14.6701426669317,6.0345499497873,2.99660577866438,12.841397799402,14.5621192779522,12.6550079276384,NA,0,0,0,9,7,8
"3-40-0.2-200",13.1963921712903,4.29350591151421,8.89938545143904,18.6997733898727,18.9758787007243,19.2604862351463,NA,0,0,0,24,26,27
"3-40-0.6-50",14.1358320599684,16.0865705035578,18.1105916312813,16.8576760695029,16.4264150787653,14.5933920187052,NA,13,4,2,4,4,3
"3-40-0.6-75",25.0509722470158,19.7366340259149,15.0588700497667,15.0125480495155,13.8255316469178,16.7173649416409,NA,4,0,0,10,11,9
"3-40-0.6-100",31.6224860640678,23.5732249104384,17.8032822548227,17.8821213154139,17.8154784321498,19.0272963772644,NA,3,1,0,19,16,17
"3-40-0.6-200",31.5758842158337,20.1591154263242,18.3577783302697,19.6498943650116,19.3531159016533,18.0673391605968,NA,0,0,0,37,37,35
"5-10-0.2-50",22.7264876333363,27.3392499256543,27.1979879556339,17.2513296110939,17.256184471396,16.6739817753795,NA,10,60,70,33,33,33
"5-10-0.2-75",29.679915441445,28.5133159708622,27.1657463900532,16.921063380981,16.921063380981,17.0396105644412,NA,75,81,75,40,40,40
"5-10-0.2-100",30.5658830665627,29.3101368595035,27.0820158083279,22.6993490421123,21.7031416765876,22.0895477598503,NA,93,81,68,58,57,57
"5-10-0.2-200",30.8814970096499,28.5261332080551,26.7570550486666,22.1083342111632,22.5215965149271,21.8244387554654,NA,95,77,65,61,61,61
"5-10-0.6-50",22.5412544304124,28.7610004503975,28.9223660734775,15.9971273044581,15.3529288311685,15.4447458187125,NA,15,64,79,38,36,37
