"","adf.01_H","adf.05_H","adf.1_H","A.01_H","A.05_H","A.1_H","adf.01_F","adf.05_F","adf.1_F","A.01_F","A.05_F","A.1_F","adf.01_KS","adf.05_KS","adf.1_KS","A.01_KS","A.05_KS","A.1_KS"
"3-10-0.2-50",0.953333333333333,0.983333333333333,0.976666666666667,0.953333333333333,0.953333333333333,0.956666666666667,0.01,0.0214285714285714,0.0542857142857143,0.03,0.03,0.0214285714285714,0.943333333333333,0.961904761904762,0.922380952380952,0.923333333333333,0.923333333333333,0.935238095238095
"3-10-0.2-75",1,0.966666666666667,0.983333333333333,0.953333333333333,0.953333333333333,0.96,0.0128571428571429,0.0514285714285714,0.0714285714285714,0.03,0.03,0.0257142857142857,0.987142857142857,0.915238095238095,0.911904761904762,0.923333333333333,0.923333333333333,0.934285714285714
"3-10-0.2-100",0.993333333333333,1,0.986666666666667,0.963333333333333,0.963333333333333,0.963333333333333,0.0185714285714286,0.0457142857142857,0.0842857142857143,0.0242857142857143,0.0242857142857143,0.0242857142857143,0.974761904761905,0.954285714285714,0.902380952380952,0.939047619047619,0.939047619047619,0.939047619047619
"3-10-0.2-200",0.996666666666667,1,0.993333333333333,0.98,0.98,0.976666666666667,0.01,0.04,0.0914285714285714,0.03,0.03,0.03,0.986666666666667,0.96,0.901904761904762,0.95,0.95,0.946666666666667
"3-10-0.6-50",0.94,0.963333333333333,0.97,0.963333333333333,0.963333333333333,0.953333333333333,0.0128571428571429,0.05,0.0928571428571429,0,0,0.00142857142857143,0.927142857142857,0.913333333333333,0.877142857142857,0.963333333333333,0.963333333333333,0.951904761904762
"3-10-0.6-75",1,0.986666666666667,0.986666666666667,0.956666666666667,0.956666666666667,0.953333333333333,0.00571428571428571,0.04,0.0957142857142857,0.0342857142857143,0.0342857142857143,0.0342857142857143,0.994285714285714,0.946666666666667,0.890952380952381,0.922380952380952,0.922380952380952,0.919047619047619
"3-10-0.6-100",0.983333333333333,0.986666666666667,0.973333333333333,0.966666666666667,0.966666666666667,0.97,0.0171428571428571,0.05,0.0942857142857143,0.0114285714285714,0.0114285714285714,0.00428571428571429,0.966190476190476,0.936666666666667,0.879047619047619,0.955238095238095,0.955238095238095,0.965714285714286
"3-10-0.6-200",1,1,0.99,0.986666666666667,0.986666666666667,0.98,0.0228571428571429,0.0342857142857143,0.0728571428571429,0.02,0.02,0.02,0.977142857142857,0.965714285714286,0.917142857142857,0.966666666666667,0.966666666666667,0.96
"3-20-0.2-50",0.93,0.85,0.776666666666667,0.87,0.87,0.87,0.0152941176470588,0.0494117647058823,0.0923529411764706,0.0258823529411765,0.0288235294117647,0.0241176470588235,0.914705882352941,0.800588235294118,0.684313725490196,0.844117647058824,0.841176470588235,0.845882352941176
"3-20-0.2-75",0.916666666666667,0.843333333333333,0.86,0.866666666666667,0.89,0.886666666666667,0.0223529411764706,0.0588235294117647,0.0788235294117647,0.0335294117647059,0.0341176470588235,0.0329411764705882,0.894313725490196,0.784509803921569,0.781176470588235,0.833137254901961,0.855882352941177,0.853725490196078
"3-20-0.2-100",0.9,0.826666666666667,0.76,0.956666666666667,0.946666666666667,0.946666666666667,0.0258823529411765,0.08,0.13,0.0135294117647059,0.0188235294117647,0.0182352941176471,0.874117647058824,0.746666666666667,0.63,0.943137254901961,0.927843137254902,0.92843137254902
"3-20-0.2-200",0.85,0.806666666666667,0.793333333333333,0.98,0.95,0.95,0.0482352941176471,0.0870588235294118,0.126470588235294,0.00764705882352941,0.0129411764705882,0.0129411764705882,0.801764705882353,0.719607843137255,0.666862745098039,0.972352941176471,0.937058823529412,0.937058823529412
"3-20-0.6-50",0.933333333333333,0.926666666666667,0.893333333333333,0.913333333333333,0.926666666666667,0.91,0.0147058823529412,0.0394117647058824,0.0711764705882353,0.0235294117647059,0.0211764705882353,0.0258823529411765,0.918627450980392,0.887254901960784,0.822156862745098,0.889803921568627,0.905490196078431,0.884117647058824
"3-20-0.6-75",0.89,0.84,0.84,0.91,0.906666666666667,0.923333333333333,0.0223529411764706,0.0547058823529412,0.0905882352941176,0.0347058823529412,0.0352941176470588,0.0282352941176471,0.867647058823529,0.785294117647059,0.749411764705882,0.875294117647059,0.871372549019608,0.895098039215686
"3-20-0.6-100",0.95,0.82,0.813333333333333,0.96,0.96,0.946666666666667,0.0105882352941176,0.0447058823529412,0.0747058823529412,0.00588235294117647,0.00588235294117647,0.00823529411764706,0.939411764705882,0.775294117647059,0.738627450980392,0.954117647058824,0.954117647058824,0.93843137254902
"3-20-0.6-200",0.89,0.803333333333333,0.776666666666667,0.963333333333333,0.956666666666667,0.963333333333333,0.0276470588235294,0.0658823529411765,0.108235294117647,0.0164705882352941,0.0176470588235294,0.0164705882352941,0.862352941176471,0.737450980392157,0.66843137254902,0.946862745098039,0.939019607843137,0.946862745098039
"3-30-0.2-50",0.936666666666667,0.97,0.933333333333333,0.893333333333333,0.893333333333333,0.89,0.022962962962963,0.0392592592592593,0.0644444444444444,0.0307407407407407,0.0311111111111111,0.0307407407407407,0.913703703703704,0.930740740740741,0.868888888888889,0.862592592592593,0.862222222222222,0.859259259259259
"3-30-0.2-75",0.976666666666667,0.973333333333333,0.963333333333333,0.87,0.876666666666667,0.84,0.0211111111111111,0.0488888888888889,0.0681481481481482,0.0225925925925926,0.0233333333333333,0.0285185185185185,0.955555555555556,0.924444444444445,0.895185185185185,0.847407407407407,0.853333333333333,0.811481481481481
"3-30-0.2-100",0.97,0.933333333333333,0.936666666666667,0.943333333333333,0.95,0.94,0.0251851851851852,0.0522222222222222,0.0781481481481481,0.0122222222222222,0.0114814814814815,0.0122222222222222,0.944814814814815,0.881111111111111,0.858518518518518,0.931111111111111,0.938518518518519,0.927777777777778
"3-30-0.2-200",0.99,0.983333333333333,0.963333333333333,0.936666666666667,0.956666666666667,0.926666666666667,0.0488888888888889,0.0818518518518519,0.121481481481481,0.0374074074074074,0.0348148148148148,0.0381481481481481,0.941111111111111,0.901481481481481,0.841851851851852,0.899259259259259,0.921851851851852,0.888518518518518
"3-30-0.6-50",0.93,0.96,0.92,0.81,0.826666666666667,0.806666666666667,0.0237037037037037,0.0559259259259259,0.092962962962963,0.0333333333333333,0.0296296296296296,0.0325925925925926,0.906296296296296,0.904074074074074,0.827037037037037,0.776666666666667,0.797037037037037,0.774074074074074
"3-30-0.6-75",0.97,0.98,0.97,0.916666666666667,0.916666666666667,0.9,0.0218518518518519,0.0411111111111111,0.0611111111111111,0.0140740740740741,0.0177777777777778,0.0155555555555556,0.948148148148148,0.938888888888889,0.908888888888889,0.902592592592593,0.898888888888889,0.884444444444444
"3-30-0.6-100",0.966666666666667,0.983333333333333,0.946666666666667,0.936666666666667,0.926666666666667,0.93,0.0148148148148148,0.0307407407407407,0.0622222222222222,0.0151851851851852,0.0166666666666667,0.0196296296296296,0.951851851851852,0.952592592592593,0.884444444444444,0.921481481481481,0.91,0.91037037037037
"3-30-0.6-200",0.983333333333333,0.946666666666667,0.993333333333333,0.96,0.973333333333333,0.96,0.0240740740740741,0.0844444444444444,0.125555555555556,0.02,0.0185185185185185,0.02,0.959259259259259,0.862222222222222,0.867777777777778,0.94,0.954814814814815,0.94
