"","adf.01_H","adf.05_H","adf.1_H","R.01_H","R.05_H","R.1_H","adf.01_F","adf.05_F","adf.1_F","R.01_F","R.05_F","R.1_F","adf.01_KS","adf.05_KS","adf.1_KS","R.01_KS","R.05_KS","R.1_KS"
"3-10-0.2-50",0.68,0.9,0.936666666666667,0.873333333333333,0.89,0.896666666666667,0.0585714285714286,0.0585714285714286,0.0928571428571429,0.287142857142857,0.264285714285714,0.265714285714286,0.621428571428571,0.841428571428571,0.843809523809524,0.586190476190476,0.625714285714286,0.630952380952381
"3-10-0.2-75",0.946666666666667,0.943333333333333,0.943333333333333,0.87,0.873333333333333,0.866666666666667,0.0328571428571429,0.08,0.125714285714286,0.31,0.298571428571429,0.314285714285714,0.913809523809524,0.863333333333333,0.817619047619048,0.56,0.574761904761905,0.552380952380952
"3-10-0.2-100",0.976666666666667,0.95,0.933333333333333,0.913333333333333,0.923333333333333,0.92,0.03,0.102857142857143,0.205714285714286,0.255714285714286,0.245714285714286,0.254285714285714,0.946666666666667,0.847142857142857,0.727619047619048,0.657619047619048,0.677619047619048,0.665714285714286
"3-10-0.2-200",0.986666666666667,0.943333333333333,0.97,0.933333333333333,0.943333333333333,0.936666666666667,0.0357142857142857,0.13,0.177142857142857,0.191428571428571,0.187142857142857,0.188571428571429,0.950952380952381,0.813333333333333,0.792857142857143,0.741904761904762,0.756190476190476,0.748095238095238
"3-10-0.6-50",0.666666666666667,0.906666666666667,0.933333333333333,0.866666666666667,0.89,0.9,0.06,0.03,0.0571428571428571,0.341428571428571,0.31,0.305714285714286,0.606666666666667,0.876666666666667,0.876190476190476,0.525238095238095,0.58,0.594285714285714
"3-10-0.6-75",0.94,0.963333333333333,0.973333333333333,0.873333333333333,0.88,0.886666666666667,0.0142857142857143,0.0314285714285714,0.0657142857142857,0.308571428571429,0.308571428571429,0.3,0.925714285714286,0.931904761904762,0.907619047619048,0.564761904761905,0.571428571428571,0.586666666666667
"3-10-0.6-100",0.996666666666667,0.993333333333333,0.96,0.953333333333333,0.95,0.95,0.0114285714285714,0.0528571428571429,0.104285714285714,0.201428571428571,0.201428571428571,0.208571428571429,0.985238095238095,0.94047619047619,0.855714285714286,0.751904761904762,0.748571428571429,0.741428571428571
"3-10-0.6-200",0.996666666666667,0.996666666666667,1,0.983333333333333,0.983333333333333,0.983333333333333,0.0142857142857143,0.0471428571428571,0.0785714285714286,0.164285714285714,0.164285714285714,0.164285714285714,0.982380952380952,0.94952380952381,0.921428571428571,0.819047619047619,0.819047619047619,0.819047619047619
"3-20-0.2-50",0.443333333333333,0.44,0.446666666666667,0.613333333333333,0.646666666666667,0.653333333333333,0.0952941176470588,0.175294117647059,0.23,0.284705882352941,0.257058823529412,0.257647058823529,0.348039215686275,0.264705882352941,0.216666666666667,0.328627450980392,0.389607843137255,0.395686274509804
"3-20-0.2-75",0.376666666666667,0.34,0.366666666666667,0.686666666666667,0.78,0.663333333333333,0.154705882352941,0.227058823529412,0.292352941176471,0.274117647058824,0.244117647058824,0.287647058823529,0.221960784313725,0.112941176470588,0.074313725490196,0.412549019607843,0.535882352941176,0.375686274509804
"3-20-0.2-100",0.34,0.196666666666667,0.23,0.776666666666667,0.73,0.826666666666667,0.162352941176471,0.252941176470588,0.291176470588235,0.246470588235294,0.252941176470588,0.241176470588235,0.177647058823529,-0.0562745098039216,-0.0611764705882353,0.530196078431373,0.477058823529412,0.585490196078431
"3-20-0.2-200",0.333333333333333,0.243333333333333,0.363333333333333,0.886666666666667,0.91,0.9,0.191176470588235,0.249411764705882,0.268235294117647,0.215294117647059,0.209411764705882,0.209411764705882,0.142156862745098,-0.00607843137254901,0.0950980392156863,0.671372549019608,0.700588235294118,0.690588235294118
"3-20-0.6-50",0.476666666666667,0.536666666666667,0.43,0.653333333333333,0.676666666666667,0.71,0.0670588235294118,0.0982352941176471,0.160588235294118,0.223529411764706,0.205882352941176,0.202352941176471,0.409607843137255,0.43843137254902,0.269411764705882,0.429803921568627,0.47078431372549,0.507647058823529
"3-20-0.6-75",0.553333333333333,0.45,0.516666666666667,0.763333333333333,0.766666666666667,0.753333333333333,0.0905882352941176,0.166470588235294,0.204117647058824,0.312352941176471,0.291176470588235,0.292941176470588,0.462745098039216,0.283529411764706,0.312549019607843,0.450980392156863,0.475490196078431,0.460392156862745
"3-20-0.6-100",0.58,0.386666666666667,0.313333333333333,0.8,0.783333333333333,0.836666666666667,0.0876470588235294,0.159411764705882,0.21,0.162941176470588,0.176470588235294,0.142941176470588,0.492352941176471,0.227254901960784,0.103333333333333,0.637058823529412,0.606862745098039,0.693725490196078
"3-20-0.6-200",0.54,0.263333333333333,0.286666666666667,0.91,0.903333333333333,0.92,0.104705882352941,0.187647058823529,0.208235294117647,0.171764705882353,0.197647058823529,0.181764705882353,0.435294117647059,0.0756862745098039,0.0784313725490196,0.738235294117647,0.705686274509804,0.738235294117647
"3-30-0.2-50",0.476666666666667,0.686666666666667,0.8,0.603333333333333,0.646666666666667,0.663333333333333,0.0733333333333333,0.105925925925926,0.148888888888889,0.207777777777778,0.200740740740741,0.194814814814815,0.403333333333333,0.580740740740741,0.651111111111111,0.395555555555556,0.445925925925926,0.468518518518519
"3-30-0.2-75",0.843333333333333,0.823333333333333,0.866666666666667,0.656666666666667,0.706666666666667,0.69,0.0907407407407407,0.163703703703704,0.221851851851852,0.272222222222222,0.272962962962963,0.283703703703704,0.752592592592593,0.65962962962963,0.644814814814815,0.384444444444444,0.433703703703704,0.406296296296296
"3-30-0.2-100",0.886666666666667,0.826666666666667,0.886666666666667,0.666666666666667,0.69,0.71,0.0981481481481482,0.168518518518519,0.228888888888889,0.224814814814815,0.222962962962963,0.208888888888889,0.788518518518519,0.658148148148148,0.657777777777778,0.441851851851852,0.467037037037037,0.501111111111111
"3-30-0.2-200",0.88,0.906666666666667,0.966666666666667,0.773333333333333,0.743333333333333,0.773333333333333,0.11,0.151111111111111,0.204444444444444,0.231481481481481,0.235555555555556,0.231851851851852,0.77,0.755555555555556,0.762222222222222,0.541851851851852,0.507777777777778,0.541481481481481
"3-30-0.6-50",0.453333333333333,0.763333333333333,0.78,0.61,0.613333333333333,0.64,0.0577777777777778,0.0692592592592593,0.101851851851852,0.184814814814815,0.187777777777778,0.181111111111111,0.395555555555556,0.694074074074074,0.678148148148148,0.425185185185185,0.425555555555556,0.458888888888889
"3-30-0.6-75",0.843333333333333,0.926666666666667,0.946666666666667,0.693333333333333,0.646666666666667,0.71,0.0603703703703704,0.0962962962962963,0.122592592592593,0.242222222222222,0.255555555555556,0.217407407407407,0.782962962962963,0.83037037037037,0.824074074074074,0.451111111111111,0.391111111111111,0.492592592592593
"3-30-0.6-100",0.93,0.956666666666667,0.916666666666667,0.77,0.8,0.77,0.0674074074074074,0.092962962962963,0.124074074074074,0.244074074074074,0.213703703703704,0.231481481481481,0.862592592592593,0.863703703703704,0.792592592592593,0.525925925925926,0.586296296296296,0.538518518518519
"3-30-0.6-200",0.98,0.953333333333333,0.986666666666667,0.806666666666667,0.8,0.806666666666667,0.0777777777777778,0.112222222222222,0.13,0.16037037037037,0.175925925925926,0.160740740740741,0.902222222222222,0.841111111111111,0.856666666666667,0.646296296296296,0.624074074074074,0.645925925925926
