1 percent;5;10;15;20;25;30;40;50;60;70;100
5;3.79;2.66;2.54;2.5;2.46;2.44;2.43;2.42;2.42;2.4;2.4
7;3.45;2.47;2.38;2.33;2.32;2.31;2.29;2.28;2.28;2.28;2.27
10;3.06;2.32;2.24;2.21;2.19;2.18;2.16;2.16;2.16;2.16;2.15
15;2.79;2.14;2.1;2.08;2.07;2.05;2.04;2.05;2.04;2.04;2.04
20;2.61;2.06;2.02;2;1.99;1.99;1.98;1.98;1.98;1.97;1.97
25;2.51;2.01;1.97;1.95;1.94;1.94;1.93;1.93;1.93;1.93;1.92
50;2.2;1.85;1.83;1.82;1.82;1.82;1.81;1.81;1.81;1.81;1.81
100;2;1.75;1.74;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73
5 percent;5;10;15;20;25;30;40;50;60;70;100
5;2.76;2.28;2.21;2.19;2.18;2.16;2.16;2.15;2.16;2.15;2.15
7;2.57;2.17;2.11;2.09;2.08;2.07;2.07;2.06;2.06;2.06;2.05
10;2.42;2.06;2.02;1.99;1.99;1.99;1.98;1.98;1.97;1.98;1.97
15;2.28;1.95;1.92;1.91;1.9;1.9;1.9;1.89;1.89;1.89;1.89
20;2.18;1.89;1.87;1.86;1.85;1.85;1.85;1.85;1.84;1.84;1.84
25;2.11;1.85;1.83;1.82;1.82;1.82;1.81;1.81;1.81;1.81;1.81
50;1.95;1.75;1.74;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73
100;1.84;1.68;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67;1.67
10 percent;5;10;15;20;25;30;40;50;60;70;100
5;2.38;2.1;2.06;2.04;2.04;2.02;2.02;2.02;2.02;2.02;2.01
7;2.27;2.01;1.98;1.96;1.95;1.95;1.95;1.95;1.94;1.95;1.94
10;2.17;1.93;1.9;1.89;1.88;1.88;1.88;1.88;1.88;1.88;1.88
15;2.06;1.85;1.83;1.82;1.82;1.82;1.81;1.81;1.81;1.81;1.81
20;2;1.8;1.79;1.78;1.78;1.78;1.78;1.78;1.78;1.77;1.77
25;1.96;1.77;1.76;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75
50;1.85;1.7;1.69;1.69;1.69;1.69;1.68;1.68;1.68;1.68;1.69
100;1.77;1.64;1.64;1.64;1.64;1.64;1.64;1.64;1.64;1.64;1.64
