"Austria";"Belgium";"Denmark";"Finland";"France";"Germany";"Italy";"Netherlands";"Norway";"Sweden";"Switzerland";"United Kingdom";"Greece";"Portugal";"Spain";"Australia";"New Zealand";"Canada";"United States";"Argentina";"Brazil";"Chile";"Colombia";"Mexico";"Peru";"Uruguay";"Venezuela";"Ecuador";"India";"Japan";"Sri Lanka"
"2,882";"3,731";"3,017";"1,668";"2,876";"2,985";"1,855";"3,329";"1,877";"2,083";"5,899";"4,492";"1,237";"1,302";"1,786";"4,013";"4,298";"2,911";"4,091";"2,875";"678";"2,194";"683";"1,319";"680";"2,219";"821";"594";"599";"1,180";"1,290"
"2,864";"3,719";"3,104";"1,636";"2,826";"2,871";"1,885";"3,440";"1,902";"2,137";"5,636";"4,450";"1,186";"1,269";"1,901";"3,839";"4,223";"3,097";"4,464";"2,880";"730";"2,223";"679";"1,415";"721";"2,233";"791";"606";"608";"1,206";"1,192"
"2,945";"3,739";"3,141";"1,591";"2,775";"2,893";"1,915";"3,532";"1,914";"2,109";"5,792";"4,525";"1,520";"1,266";"1,833";"3,823";"4,438";"3,331";"4,421";"2,717";"715";"2,293";"676";"1,348";"757";"2,572";"856";"618";"655";"1,129";"1,175"
"2,941";"3,772";"3,290";"1,686";"2,831";"3,008";"1,932";"3,478";"1,891";"2,220";"5,679";"4,440";"1,485";"1,273";"1,829";"4,076";"4,727";"3,334";"4,551";"2,992";"714";"2,139";"672";"1,483";"798";"2,615";"913";"631";"660";"1,193";"1,225"
"2,956";"3,821";"3,326";"1,731";"2,847";"3,083";"1,966";"3,476";"1,888";"2,258";"6,067";"4,428";"1,567";"1,279";"1,810";"4,295";"4,570";"3,280";"4,410";"3,191";"713";"2,287";"669";"1,492";"815";"2,640";"876";"643";"659";"1,188";"1,215"
"3,090";"3,882";"3,346";"1,742";"2,894";"3,104";"2,007";"3,598";"1,892";"2,225";"6,302";"4,520";"1,606";"1,233";"1,777";"4,282";"4,850";"3,562";"4,642";"3,479";"718";"2,259";"666";"1,630";"864";"2,334";"861";"656";"643";"1,157";"1,179"
"3,176";"3,917";"3,402";"1,794";"2,943";"3,152";"2,075";"3,620";"1,962";"2,403";"6,592";"4,631";"1,587";"1,231";"1,851";"4,507";"5,158";"3,846";"5,079";"3,518";"770";"2,408";"671";"1,594";"921";"2,533";"799";"669";"657";"1,297";"1,190"
"3,338";"3,932";"3,486";"1,834";"3,070";"3,245";"2,112";"3,508";"2,038";"2,563";"6,557";"4,679";"1,609";"1,249";"1,896";"4,616";"5,340";"3,875";"5,065";"3,459";"755";"2,507";"702";"1,669";"966";"2,757";"793";"683";"614";"1,325";"1,233"
"3,320";"3,933";"3,552";"1,829";"3,045";"3,254";"2,156";"3,531";"2,088";"2,484";"6,573";"4,449";"1,600";"1,219";"1,957";"4,693";"4,835";"3,572";"4,561";"3,657";"734";"2,743";"728";"1,649";"972";"2,973";"841";"703";"619";"1,318";"1,221"
"3,276";"3,971";"3,643";"1,884";"3,167";"3,275";"2,173";"3,671";"2,115";"2,497";"6,665";"4,511";"1,632";"1,208";"1,977";"4,981";"4,770";"3,850";"5,017";"3,699";"776";"2,726";"751";"1,680";"976";"2,957";"865";"724";"700";"1,301";"1,153"
"3,290";"4,064";"3,705";"1,906";"2,965";"3,348";"2,176";"3,783";"2,186";"2,543";"6,885";"4,611";"1,626";"1,228";"1,895";"5,210";"5,316";"4,066";"4,964";"3,822";"769";"3,000";"779";"1,694";"981";"3,136";"886";"746";"697";"1,304";"1,208"
"3,365";"4,148";"3,857";"1,939";"3,250";"3,408";"2,199";"3,863";"2,255";"2,606";"6,927";"4,709";"2,027";"1,242";"2,017";"5,104";"5,494";"4,213";"5,046";"3,746";"836";"2,887";"802";"1,707";"989";"2,957";"937";"768";"691";"1,356";"1,160"
"3,505";"4,206";"3,812";"2,022";"3,514";"3,524";"2,201";"3,918";"2,344";"2,705";"7,212";"4,762";"1,967";"1,257";"1,989";"5,098";"5,209";"4,377";"5,201";"3,904";"809";"2,968";"826";"1,718";"1,012";"3,508";"962";"792";"689";"1,384";"1,157"
